Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    18.6301,   152.66,    16.7782,    45.59,    21.0967,   -76.83,          0,     0.00, 1.21878E-008,    66.49,    18.6301,   -27.34,    16.7782,  -134.41,    21.0967,   103.17,          0,     0.00, 1.21878E-008,  -113.51
Capacitor.CAPACITOR 01,     87.014,    55.96,    87.3827,   -62.73,    86.2315,   177.34,          0,     0.00,    3.04591,   -31.00,     87.014,  -124.04,    87.3827,   117.27,    86.2315,    -2.66,          0,     0.00,    3.04591,   149.00
Capacitor.CAPACITOR 02,    21.6446,    56.06,          0,     0.00,          0,     0.00,          0,     0.00,    21.6446,    56.06,    21.6446,  -123.94,          0,     0.00,          0,     0.00,          0,     0.00,    21.6446,  -123.94
Capacitor.CAPACITOR 03,    21.6942,   -62.77,          0,     0.00,          0,     0.00,          0,     0.00,    21.6942,   -62.77,    21.6942,   117.23,          0,     0.00,          0,     0.00,          0,     0.00,    21.6942,   117.23
Capacitor.CAPACITOR 04,     21.526,   177.48,          0,     0.00,          0,     0.00,          0,     0.00,     21.526,   177.48,     21.526,    -2.52,          0,     0.00,          0,     0.00,          0,     0.00,     21.526,    -2.52
Line.L115,    612.614,   -51.60,    401.484,  -167.94,    502.113,    71.63,          0,     0.00,    170.295,   -30.90,    612.615,   128.40,    401.484,    12.06,    502.113,  -108.37,          0,     0.00,    170.295,   149.10
Line.LINE L1,    9.16509,  -176.95,          0,     0.00,          0,     0.00,          0,     0.00,    9.16509,  -176.95,    9.16526,     3.05,          0,     0.00,          0,     0.00,          0,     0.00,    9.16526,     3.05
Line.LINE L10,    538.742,   -50.75,    383.386,  -167.50,    456.121,    72.52,          0,     0.00,    122.376,   -32.13,    538.743,   129.25,    383.387,    12.50,    456.121,  -107.48,          0,     0.00,    122.376,   147.87
Line.LINE L100,    45.4429,    61.02,          0,     0.00,          0,     0.00,          0,     0.00,    45.4429,    61.02,    45.4431,  -118.98,          0,     0.00,          0,     0.00,          0,     0.00,    45.4431,  -118.98
Line.LINE L101,    66.5516,   -60.65,    35.8076,  -179.00, 0.00254028,   170.79,          0,     0.00,    58.7221,   -93.11,    66.5519,   119.35,    35.8082,     1.00,  0.0015423,    -9.20,          0,     0.00,    58.7221,    86.89
Line.LINE L102,    36.3724,    61.01,          0,     0.00,          0,     0.00,          0,     0.00,    36.3724,    61.01,    36.3727,  -118.99,          0,     0.00,          0,     0.00,          0,     0.00,    36.3727,  -118.99
Line.LINE L103,    18.2019,    60.99,          0,     0.00,          0,     0.00,          0,     0.00,    18.2019,    60.99,    18.2025,  -119.01,          0,     0.00,          0,     0.00,          0,     0.00,    18.2025,  -119.01
Line.LINE L104,     35.809,  -179.00,          0,     0.00,          0,     0.00,          0,     0.00,     35.809,  -179.00,    35.8092,     1.00,          0,     0.00,          0,     0.00,          0,     0.00,    35.8092,     1.00
Line.LINE L105,    66.5519,   -60.65, 0.00147133,   -52.97,  0.0015423,   170.80,          0,     0.00,    66.5524,   -60.66,    66.5523,   119.35, 0.000346213,   127.03, 0.000362886,    -9.20,          0,     0.00,    66.5524,   119.34
Line.LINE L106,    17.9167,  -179.02,          0,     0.00,          0,     0.00,          0,     0.00,    17.9167,  -179.02,    17.9173,     0.98,          0,     0.00,          0,     0.00,          0,     0.00,    17.9173,     0.98
Line.LINE L107,    66.5524,   -60.66,          0,     0.00,          0,     0.00,          0,     0.00,    66.5524,   -60.66,    66.5529,   119.34,          0,     0.00,          0,     0.00,          0,     0.00,    66.5529,   119.34
Line.LINE L108, 0.000293925,    53.53, 0.000346213,   -52.97, 0.000362886,   170.80,          0,     0.00, 3.07945E-005,    35.80, 2.2129E-011,  -170.54, 3.71002E-011,   168.69, 3.25391E-011,  -153.43,          0,     0.00, 8.7991E-011,  -172.87
Line.LINE L109,    48.4717,   -60.68,          0,     0.00,          0,     0.00,          0,     0.00,    48.4717,   -60.68,     48.472,   119.32,          0,     0.00,          0,     0.00,          0,     0.00,     48.472,   119.32
Line.LINE L11,    28.0871,   -58.07,          0,     0.00,          0,     0.00,          0,     0.00,    28.0871,   -58.07,    28.0875,   121.93,          0,     0.00,          0,     0.00,          0,     0.00,    28.0875,   121.93
Line.LINE L110,    10.9327,   -60.65,          0,     0.00,          0,     0.00,          0,     0.00,    10.9327,   -60.65,    10.9332,   119.34,          0,     0.00,          0,     0.00,          0,     0.00,    10.9332,   119.34
Line.LINE L111,    37.5393,   -60.68,          0,     0.00,          0,     0.00,          0,     0.00,    37.5393,   -60.68,    37.5395,   119.32,          0,     0.00,          0,     0.00,          0,     0.00,    37.5395,   119.32
Line.LINE L112,    28.2181,   -60.69,          0,     0.00,          0,     0.00,          0,     0.00,    28.2181,   -60.69,    28.2186,   119.30,          0,     0.00,          0,     0.00,          0,     0.00,    28.2186,   119.30
Line.LINE L113,    9.08587,   -60.70,          0,     0.00,          0,     0.00,          0,     0.00,    9.08587,   -60.70,    9.08618,   119.30,          0,     0.00,          0,     0.00,          0,     0.00,    9.08618,   119.30
Line.LINE L114,     135.98,   -61.30,    136.501,   173.79,    98.3033,    56.56,          0,     0.00,    27.7429,  -125.81,    135.981,   118.70,    136.502,    -6.21,    98.3038,  -123.45,          0,     0.00,     27.743,    54.19
Line.LINE L116,    326.904,   -44.35,    234.533,  -155.63,    249.867,    83.70,          0,     0.00,    90.4392,   -58.27,    326.904,   135.65,    234.533,    24.37,    249.867,   -96.30,          0,     0.00,    90.4393,   121.73
Line.LINE L117,    219.436,   -35.80,    159.114,  -144.23,    169.838,    93.25,          0,     0.00,    65.0088,   -52.85,    219.436,   144.20,    159.114,    35.77,    169.838,   -86.75,          0,     0.00,    65.0087,   127.15
Line.LINE L118,    66.5513,   -60.65,    35.8071,  -179.00,    45.4418,    61.02,          0,     0.00,     26.666,   -45.08,    66.5516,   119.35,    35.8076,     1.00,    45.4421,  -118.98,          0,     0.00,     26.666,   134.92
Line.LINE L12,    46.6364,    62.22,          0,     0.00,          0,     0.00,          0,     0.00,    46.6364,    62.22,    46.6365,  -117.78,          0,     0.00,          0,     0.00,          0,     0.00,    46.6365,  -117.78
Line.LINE L13,    216.958,   -60.41,    161.262,   175.08,    169.922,    58.85,          0,     0.00,    45.2202,   -40.59,    216.959,   119.58,    161.263,    -4.92,    169.923,  -121.15,          0,     0.00,    45.2199,   139.41
Line.LINE L15,    9.32103,   -58.07,          0,     0.00,          0,     0.00,          0,     0.00,    9.32103,   -58.07,    9.32127,   121.93,          0,     0.00,          0,     0.00,          0,     0.00,    9.32127,   121.93
Line.LINE L16,    18.6622,    62.21,          0,     0.00,          0,     0.00,          0,     0.00,    18.6622,    62.21,    18.6626,  -117.79,          0,     0.00,          0,     0.00,          0,     0.00,    18.6626,  -117.79
Line.LINE L17,    9.32604,    62.22,          0,     0.00,          0,     0.00,          0,     0.00,    9.32604,    62.22,    9.32636,  -117.78,          0,     0.00,          0,     0.00,          0,     0.00,    9.32636,  -117.78
Line.LINE L18,    37.5185,   -58.86,          0,     0.00,          0,     0.00,          0,     0.00,    37.5185,   -58.86,    37.5187,   121.14,          0,     0.00,          0,     0.00,          0,     0.00,    37.5187,   121.14
Line.LINE L19,    43.5041,   -58.98,    24.9857,  -177.86,    71.8073,    62.00,          0,     0.00,    40.0692,    38.94,    43.5045,   121.02,    24.9861,     2.14,    71.8079,  -118.00,          0,     0.00,    40.0692,  -141.06
Line.LINE L2,    46.5831,    62.93,          0,     0.00,          0,     0.00,          0,     0.00,    46.5831,    62.93,    46.5833,  -117.07,          0,     0.00,          0,     0.00,          0,     0.00,    46.5833,  -117.07
Line.LINE L20,    18.6423,   -58.86,          0,     0.00,          0,     0.00,          0,     0.00,    18.6423,   -58.86,    18.6426,   121.13,          0,     0.00,          0,     0.00,          0,     0.00,    18.6426,   121.13
Line.LINE L21,    18.7782,  -177.89,          0,     0.00,          0,     0.00,          0,     0.00,    18.7782,  -177.89,    18.7786,     2.11,          0,     0.00,          0,     0.00,          0,     0.00,    18.7786,     2.11
Line.LINE L22,    43.5045,   -58.98,    6.20792,  -177.78,    71.8079,    62.00,          0,     0.00,    56.2379,    27.40,    43.5048,   121.02,     6.2082,     2.21,    71.8084,  -118.00,          0,     0.00,    56.2379,  -152.60
Line.LINE L23,    18.4325,    62.02,          0,     0.00,          0,     0.00,          0,     0.00,    18.4325,    62.02,     18.433,  -117.98,          0,     0.00,          0,     0.00,          0,     0.00,     18.433,  -117.98
Line.LINE L24,    43.5048,   -58.98,     6.2082,  -177.79,    53.3759,    61.99,          0,     0.00,    42.3843,    13.09,    43.5053,   121.02,    6.20853,     2.20,    53.3762,  -118.01,          0,     0.00,    42.3844,  -166.91
Line.LINE L25A,    18.6415,   -58.99,          0,     0.00,          0,     0.00,          0,     0.00,    18.6415,   -58.99,    18.6417,   121.01,          0,     0.00,          0,     0.00,          0,     0.00,    18.6417,   121.01
Line.LINE L25C,    27.9476,    61.98,          0,     0.00,          0,     0.00,          0,     0.00,    27.9476,    61.98,    27.9477,  -118.02,          0,     0.00,          0,     0.00,          0,     0.00,    27.9477,  -118.02
Line.LINE L26,    24.6308,   -58.98,    6.20853,  -177.80,    25.0793,    62.00,          0,     0.00,     18.283,     2.50,     24.631,   121.02,    6.20876,     2.20,    25.0797,  -118.00,          0,     0.00,     18.283,  -177.50
Line.LINE L27A,    18.6417,   -58.99,          0,     0.00,          0,     0.00,          0,     0.00,    18.6417,   -58.99,    18.6418,   121.01,          0,     0.00,          0,     0.00,          0,     0.00,    18.6418,   121.01
Line.LINE L27C, 0.00028393,   178.63,          0,     0.00,          0,     0.00,          0,     0.00, 0.00028393,   178.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LINE L28,    27.9478,    61.98,          0,     0.00,          0,     0.00,          0,     0.00,    27.9478,    61.98,     27.948,  -118.02,          0,     0.00,          0,     0.00,          0,     0.00,     27.948,  -118.02
Line.LINE L29,    18.6418,   -58.99,          0,     0.00,          0,     0.00,          0,     0.00,    18.6418,   -58.99,    18.6423,   121.01,          0,     0.00,          0,     0.00,          0,     0.00,    18.6423,   121.01
Line.LINE L3,    594.417,   -51.43,    392.435,  -167.73,    456.121,    72.52,          0,     0.00,    167.941,   -42.32,    594.417,   128.57,    392.435,    12.27,    456.121,  -107.48,          0,     0.00,    167.941,   137.68
Line.LINE L30,    18.4214,   -58.98, 0.00241901,   -64.15,    18.8701,    61.99,          0,     0.00,    18.3764,     2.72,    18.4218,   121.02, 0.00156525,   115.86,    18.8707,  -118.01,          0,     0.00,    18.3764,  -177.28
Line.LINE L31, 0.00190981,    51.28, 0.00156525,   -64.14,    18.8707,    61.99,          0,     0.00,    18.8717,    61.98, 0.000694484,  -128.72, 0.000569179,   115.86,    18.8714,  -118.02,          0,     0.00,    18.8717,  -118.02
Line.LINE L32, 0.000694484,    51.28, 0.000569179,   -64.14, 0.000662321,  -172.12,          0,     0.00, 6.66863E-005,   -66.53, 2.03369E-011,   100.30, 4.89778E-012,  -111.80, 2.18279E-011,   180.00,          0,     0.00, 3.13611E-011,   150.46
Line.LINE L33,    18.6265,    61.97,          0,     0.00,          0,     0.00,          0,     0.00,    18.6265,    61.97,    18.6268,  -118.03,          0,     0.00,          0,     0.00,          0,     0.00,    18.6268,  -118.03
Line.LINE L34,    27.9882,    62.21,          0,     0.00,          0,     0.00,          0,     0.00,    27.9882,    62.21,    27.9883,  -117.79,          0,     0.00,          0,     0.00,          0,     0.00,    27.9883,  -117.79
Line.LINE L35A,     18.353,   -58.94,          0,     0.00,          0,     0.00,          0,     0.00,     18.353,   -58.94,    18.3533,   121.05,          0,     0.00,          0,     0.00,          0,     0.00,    18.3533,   121.05
Line.LINE L35B,    18.6021,  -177.98,          0,     0.00,          0,     0.00,          0,     0.00,    18.6021,  -177.98,    18.6024,     2.02,          0,     0.00,          0,     0.00,          0,     0.00,    18.6024,     2.02
Line.LINE L36,    108.766,   -64.84,    108.025,   174.53,    98.3038,    56.55,          0,     0.00,    9.38113,  -139.27,    108.767,   115.16,    108.026,    -5.47,    98.3041,  -123.45,          0,     0.00,    9.38108,    40.73
Line.LINE L37,    18.3533,   -58.95,          0,     0.00,          0,     0.00,          0,     0.00,    18.3533,   -58.95,    18.3536,   121.05,          0,     0.00,          0,     0.00,          0,     0.00,    18.3536,   121.05
Line.LINE L38,    18.6024,  -177.98,          0,     0.00,          0,     0.00,          0,     0.00,    18.6024,  -177.98,    18.6027,     2.02,          0,     0.00,          0,     0.00,          0,     0.00,    18.6027,     2.02
Line.LINE L39,    9.28122,  -177.99,          0,     0.00,          0,     0.00,          0,     0.00,    9.28122,  -177.99,    9.28152,     2.01,          0,     0.00,          0,     0.00,          0,     0.00,    9.28152,     2.01
Line.LINE L4,     18.378,    62.94,          0,     0.00,          0,     0.00,          0,     0.00,     18.378,    62.94,    18.3782,  -117.06,          0,     0.00,          0,     0.00,          0,     0.00,    18.3782,  -117.06
Line.LINE L40,    9.41075,    62.02,          0,     0.00,          0,     0.00,          0,     0.00,    9.41075,    62.02,    9.41105,  -117.99,          0,     0.00,          0,     0.00,          0,     0.00,    9.41105,  -117.99
Line.LINE L41,    108.767,   -64.84,    108.026,   174.53,    88.9406,    55.98,          0,     0.00,    18.4685,  -128.61,    108.767,   115.16,    108.026,    -5.47,     88.941,  -124.02,          0,     0.00,    18.4684,    51.39
Line.LINE L42,    18.6949,  -178.08,          0,     0.00,          0,     0.00,          0,     0.00,    18.6949,  -178.08,    18.6953,     1.92,          0,     0.00,          0,     0.00,          0,     0.00,    18.6953,     1.92
Line.LINE L43,    99.3385,   -65.40,     89.519,   172.99,     88.941,    55.98,          0,     0.00,    6.11552,   -68.18,    99.3389,   114.60,    89.5193,    -7.01,    88.9413,  -124.02,          0,     0.00,    6.11554,   111.82
Line.LINE L44,    18.8234,   -59.02,          0,     0.00,          0,     0.00,          0,     0.00,    18.8234,   -59.02,    18.8236,   120.98,          0,     0.00,          0,     0.00,          0,     0.00,    18.8236,   120.98
Line.LINE L45,     80.659,   -66.88,    89.5193,   172.99,    88.9413,    55.98,          0,     0.00,    12.8228,   125.33,    80.6596,   113.12,    89.5197,    -7.01,    88.9416,  -124.02,          0,     0.00,    12.8228,   -54.67
Line.LINE L46,     9.5023,   -59.03,          0,     0.00,          0,     0.00,          0,     0.00,     9.5023,   -59.03,    9.50257,   120.97,          0,     0.00,          0,     0.00,          0,     0.00,    9.50257,   120.97
Line.LINE L47,    35.0804,   -67.93,    35.8553,   172.99,    35.3453,    53.00,          0,     0.00,    1.13974,   175.03,    35.0807,   112.07,    35.8557,    -7.02,    35.3455,  -127.00,          0,     0.00,    1.13976,    -4.97
Line.LINE L48,    27.7025,   -64.89,    35.7619,   172.99,    35.8718,    60.38,          0,     0.00,    12.0705,   119.87,     27.703,   115.11,    35.7625,    -7.01,     35.872,  -119.62,          0,     0.00,    12.0704,   -60.13
Line.LINE L49,    9.50681,   -59.04, 0.00349328,   -54.85,    18.8778,    61.88,          0,     0.00,    16.1966,    31.63,    9.50715,   120.95, 0.00261997,   125.15,     18.878,  -118.13,          0,     0.00,    16.1966,  -148.37
Line.LINE L5,    28.2053,    62.92,          0,     0.00,          0,     0.00,          0,     0.00,    28.2053,    62.92,    28.2056,  -117.08,          0,     0.00,          0,     0.00,          0,     0.00,    28.2056,  -117.08
Line.LINE L50,    9.50715,   -59.05, 0.00261997,   -54.85, 0.00248031,   168.69,          0,     0.00,     9.5081,   -59.06,     9.5075,   120.95, 0.00174665,   125.15, 0.00165354,   -11.31,          0,     0.00,    9.50813,   120.94
Line.LINE L51, 0.00139211,    60.73, 0.00174665,   -54.85, 0.00165354,   168.69,          0,     0.00, 0.000128236,    59.58, 8.23582E-012,    83.66, 6.10108E-012,    26.57, 1.02898E-011,   -45.00,          0,     0.00, 1.41192E-011,    14.93
Line.LINE L52,    308.702,   -43.47,    234.533,  -155.63,    249.867,    83.70,          0,     0.00,    71.6063,   -58.13,    308.702,   136.53,    234.533,    24.37,    249.867,   -96.30,          0,     0.00,    71.6063,   121.87
Line.LINE L53,    290.544,   -42.48,    234.533,  -155.63,    249.867,    83.70,          0,     0.00,    52.7201,   -57.83,    290.544,   137.52,    234.533,    24.37,    249.867,   -96.30,          0,     0.00,    52.7201,   122.17
Line.LINE L54,    9.18156,   -59.07,    9.20333,  -178.10, 0.00155761,   175.32,          0,     0.00,    9.32767,  -118.71,    9.18211,   120.92,    9.20366,     1.89, 0.000778814,    -4.68,          0,     0.00,    9.32764,    61.29
Line.LINE L55,    281.757,   -41.95,    226.056,  -154.74,    249.867,    83.70,          0,     0.00,    48.8653,   -48.23,    281.757,   138.05,    226.056,    25.26,    249.867,   -96.30,          0,     0.00,    48.8653,   131.77
Line.LINE L56, 0.000906523,    67.60,    9.20366,  -178.11, 0.000778814,   175.32,          0,     0.00,    9.20406,  -178.11, 1.13959E-011,  -118.61,    9.20399,     1.89, 7.27596E-012,    90.00,          0,     0.00,    9.20399,     1.89
Line.LINE L57,    18.5532,  -178.32,          0,     0.00,          0,     0.00,          0,     0.00,    18.5532,  -178.32,    18.5534,     1.68,          0,     0.00,          0,     0.00,          0,     0.00,    18.5534,     1.68
Line.LINE L58,    281.757,   -41.95,    209.184,  -152.71,    249.867,    83.70,          0,     0.00,    62.4474,   -35.09,    281.758,   138.05,    209.184,    27.29,    249.867,   -96.30,          0,     0.00,    62.4473,   144.91
Line.LINE L59,    9.23198,  -178.32,          0,     0.00,          0,     0.00,          0,     0.00,    9.23198,  -178.32,    9.23221,     1.68,          0,     0.00,          0,     0.00,          0,     0.00,    9.23221,     1.68
Line.LINE L6,    18.8842,    62.91,          0,     0.00,          0,     0.00,          0,     0.00,    18.8842,    62.91,    18.8844,  -117.09,          0,     0.00,          0,     0.00,          0,     0.00,    18.8844,  -117.09
Line.LINE L60, 0.00187423,    63.92, 0.00181335,   -71.64, 0.00153414,  -179.57,          0,     0.00, 0.000147427,  -160.49, 1.26008E-005,    56.95, 1.2858E-005,   -62.09, 1.2782E-005,   177.46,          0,     0.00, 2.63581E-007,   -62.45
Line.LINE L66,    53.9704,   -60.38,          0,     0.00,          0,     0.00,          0,     0.00,    53.9704,   -60.38,    53.9706,   119.62,          0,     0.00,          0,     0.00,          0,     0.00,    53.9706,   119.62
Line.LINE L67,    110.089,    -4.08,    118.999,  -129.33,     120.21,   109.90,          0,     0.00,    14.6725,   116.39,    110.088,   175.92,    118.999,    50.67,     120.21,   -70.10,          0,     0.00,    14.6725,   -63.61
