Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 115, 1,    66395.3,    0.0,         1, 2,    66395.3, -120.0,         1, 3,    66395.3,  120.0,         1
"LOAD 106B", 4.16, 2,    2500.66, -152.4,    1.0412, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 68A", 4.16, 1,    2492.49,  -33.7,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD 76A", 4.16, 1,    2496.58,  -33.8,    1.0395, 2,    2503.76, -152.5,    1.0425, 0, 0, 0, 0
"LOAD 76C", 4.16, 1,    2496.58,  -33.8,    1.0395, 3,    2474.97,   87.6,    1.0305, 0, 0, 0, 0
"LOAD S100C", 4.16, 3,    2468.85,   87.6,    1.0279, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S102C", 4.16, 3,    2466.29,   87.7,    1.0269, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S103C", 4.16, 3,    2462.31,   87.6,    1.0252, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S104C", 4.16, 3,    2458.03,   87.6,    1.0234, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S107B", 4.16, 2,    2497.19, -152.4,    1.0397, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S109A", 4.16, 1,    2474.52,  -34.0,    1.0303, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S10A", 4.16, 1,    2416.75,  -31.5,    1.0062, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S111A", 4.16, 1,    2467.53,  -34.0,    1.0274, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S112A", 4.16, 1,    2468.07,  -34.0,    1.0276, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S113A", 4.16, 1,    2463.07,  -34.1,    1.0255, 0, 0, 0, 0, 0, 0, 0, 0
"LOAD S114A", 4.16, 1,     2462.1,  -34.1,    1.0251, 0, 0, 0, 0, 0, 0, 0, 0
