Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 4.16, 1,     2449.7,    0.0,      1.02, 2,     2449.7, -120.0,      1.02, 3,     2449.7,  120.0,      1.02
"LOAD_611", 4.16, 1,    2448.75,    0.0,    1.0196, 2,    2448.75, -120.0,    1.0196, 3,    2448.75,  120.0,    1.0196
"LOAD_634", 4.16, 1,    2449.13,    0.0,    1.0197, 2,    2449.13, -120.0,    1.0197, 3,    2449.13,  120.0,    1.0197
"LOAD_645", 4.16, 1,    2449.11,    0.0,    1.0197, 2,    2449.11, -120.0,    1.0197, 3,    2449.11,  120.0,    1.0197
"LOAD_646", 4.16, 1,    2449.09,    0.0,    1.0197, 2,    2449.09, -120.0,    1.0197, 3,    2449.09,  120.0,    1.0197
"LOAD_652", 4.16, 1,    2448.73,    0.0,    1.0195, 2,    2448.73, -120.0,    1.0195, 3,    2448.73,  120.0,    1.0195
"LOAD_671", 4.16, 1,    2448.81,    0.0,    1.0196, 2,    2448.81, -120.0,    1.0196, 3,    2448.81,  120.0,    1.0196
"LOAD_675", 4.16, 1,     2448.8,    0.0,    1.0196, 2,     2448.8, -120.0,    1.0196, 3,     2448.8,  120.0,    1.0196
"LOAD_692", 4.16, 1,    2448.81,    0.0,    1.0196, 2,    2448.81, -120.0,    1.0196, 3,    2448.81,  120.0,    1.0196
"BUS_611", 4.16, 1,    2448.75,    0.0,    1.0196, 2,    2448.75, -120.0,    1.0196, 3,    2448.75,  120.0,    1.0196
"BUS_634", 4.16, 1,    2449.13,    0.0,    1.0197, 2,    2449.13, -120.0,    1.0197, 3,    2449.13,  120.0,    1.0197
"BUS_645", 4.16, 1,    2449.11,    0.0,    1.0197, 2,    2449.11, -120.0,    1.0197, 3,    2449.11,  120.0,    1.0197
"BUS_646", 4.16, 1,    2449.09,    0.0,    1.0197, 2,    2449.09, -120.0,    1.0197, 3,    2449.09,  120.0,    1.0197
"BUS_652", 4.16, 1,    2448.73,    0.0,    1.0195, 2,    2448.73, -120.0,    1.0195, 3,    2448.73,  120.0,    1.0195
"BUS_671", 4.16, 1,    2448.81,    0.0,    1.0196, 2,    2448.81, -120.0,    1.0196, 3,    2448.81,  120.0,    1.0196
"BUS_675", 4.16, 1,     2448.8,    0.0,    1.0196, 2,     2448.8, -120.0,    1.0196, 3,     2448.8,  120.0,    1.0196
"BUS_692", 4.16, 1,    2448.81,    0.0,    1.0196, 2,    2448.81, -120.0,    1.0196, 3,    2448.81,  120.0,    1.0196
"BUS_632", 4.16, 1,    2449.16,    0.0,    1.0197, 2,    2449.16, -120.0,    1.0197, 3,    2449.16,  120.0,    1.0197
"BUS_633", 4.16, 1,    2449.13,    0.0,    1.0197, 2,    2449.13, -120.0,    1.0197, 3,    2449.13,  120.0,    1.0197
"BUS_650", 4.16, 1,    2449.69,    0.0,      1.02, 2,    2449.69, -120.0,      1.02, 3,    2449.69,  120.0,      1.02
"BUS_680", 4.16, 1,    2448.81,    0.0,    1.0196, 2,    2448.81, -120.0,    1.0196, 3,    2448.81,  120.0,    1.0196
"BUS_684", 4.16, 1,    2448.77,    0.0,    1.0196, 2,    2448.77, -120.0,    1.0196, 3,    2448.77,  120.0,    1.0196
