Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    205.545,   148.22,    205.545,    28.22,    205.545,   -91.78,          0,     0.00, 3.94528E-008,  -148.71,    205.545,   -31.78,    205.545,  -151.78,    205.545,    88.22,          0,     0.00, 3.94528E-008,    31.29
Line.CONN 01,    205.545,   -31.78,    205.545,  -151.78,    205.545,    88.22,          0,     0.00, 4.0849E-008,    31.24,    205.545,   148.22,    205.545,    28.22,    205.545,   -91.78,          0,     0.00, 3.89054E-008,  -148.96
Line.CONN 02,     5.3372,   -31.01,     5.3372,  -151.01,     5.3372,    88.99,          0,     0.00, 2.50766E-009,    21.80,     5.3372,   148.99,     5.3372,    28.99,     5.3372,   -91.01,          0,     0.00, 2.31414E-009,  -168.55
Line.CONN 03,    4.55481,   -23.88,    4.55481,  -143.88,    4.55481,    96.12,          0,     0.00, 1.49084E-009,    51.34,    4.55481,   156.12,    4.55481,    36.12,    4.55481,   -83.88,          0,     0.00, 1.15867E-009,  -140.72
Line.CONN 04,     6.7006,   -33.64,     6.7006,  -153.64,     6.7006,    86.36,          0,     0.00, 2.32831E-009,    53.13,     6.7006,   146.36,     6.7006,    26.36,     6.7006,   -93.64,          0,     0.00, 1.98637E-009,  -140.76
Line.CONN 05,    3.13086,   -26.56,    3.13086,  -146.56,    3.13086,    93.44,          0,     0.00, 2.00288E-009,    35.54,    3.13086,   153.44,    3.13086,    33.44,    3.13086,   -86.56,          0,     0.00, 2.03206E-009,  -119.62
Line.CONN 06,     2.9554,   -18.51,     2.9554,  -138.51,     2.9554,   101.49,          0,     0.00, 3.54637E-009,    23.20,    2.95541,   161.49,    2.95541,    41.49,    2.95541,   -78.51,          0,     0.00, 2.35872E-009,  -137.02
Line.CONN 07,    10.4593,   -26.68,    10.4593,  -146.68,    10.4593,    93.32,          0,     0.00, 1.47255E-009,    18.43,    10.4593,   153.32,    10.4593,    33.32,    10.4593,   -86.68,          0,     0.00, 2.12261E-009,  -176.45
Line.CONN 08,    10.4983,   -26.77,    10.4983,  -146.77,    10.4983,    93.23,          0,     0.00, 1.16415E-009,    90.00,    10.4983,   153.23,    10.4983,    33.23,    10.4983,   -86.77,          0,     0.00, 1.44463E-009,   -52.50
Line.CONN 09,    2.97714,   -18.56,    2.97714,  -138.56,    2.97714,   101.44,          0,     0.00, 9.59985E-010,   -75.96,    2.97714,   161.44,    2.97714,    41.44,    2.97714,   -78.56,          0,     0.00, 6.60177E-010,  -159.73
Line.CONN 10,    2.97898,   -18.58,    2.97898,  -138.58,    2.97898,   101.42,          0,     0.00, 1.47255E-009,    18.43,    2.97898,   161.42,    2.97898,    41.42,    2.97898,   -78.58,          0,     0.00, 1.27559E-009,  -107.55
Line.CONN 11,    2.54849,   -33.90,    2.54849,  -153.90,    2.54849,    86.10,          0,     0.00, 1.18721E-009,   -11.31,    2.54849,   146.10,    2.54849,    26.10,    2.54849,   -93.90,          0,     0.00, 2.20196E-009,  -119.43
Line.CONN 12,    3.27186,   -30.44,    3.27186,  -150.44,    3.27186,    89.56,          0,     0.00, 1.35762E-009,   149.04,    3.27186,   149.56,    3.27186,    29.56,    3.27186,   -90.44,          0,     0.00, 1.25698E-009,    -2.42
Line.CONN 13,    3.28293,   -30.44,    3.28293,  -150.44,    3.28293,    89.56,          0,     0.00, 1.56188E-009,    63.43,    3.28293,   149.56,    3.28293,    29.56,    3.28293,   -90.44,          0,     0.00, 1.23744E-009,  -102.91
Line.CONN 14,    6.82654,   -33.91,    6.82654,  -153.91,    6.82654,    86.09,          0,     0.00, 6.58545E-010,   -45.00,    6.82654,   146.09,    6.82654,    26.09,    6.82654,   -93.91,          0,     0.00, 6.51251E-010,  -146.19
Line.CONN 15,    3.00287,   -18.57,    3.00287,  -138.57,    3.00287,   101.43,          0,     0.00, 2.91736E-009,   -61.39,    3.00287,   161.43,    3.00287,    41.43,    3.00287,   -78.57,          0,     0.00, 3.66084E-009,   120.66
Line.CONN 16,    2.88524,    -9.82,    2.88524,  -129.82,    2.88524,   110.18,          0,     0.00, 4.65661E-010,    90.00,    2.88524,   170.18,    2.88524,    50.18,    2.88524,   -69.82,          0,     0.00, 5.75833E-010,   -56.15
Line.CONN 17,     3.0129,   -18.56,     3.0129,  -138.56,     3.0129,   101.44,          0,     0.00, 2.84206E-009,   124.99,     3.0129,   161.44,     3.0129,    41.44,     3.0129,   -78.56,          0,     0.00, 2.04529E-009,  -107.46
Line.CONN 18,    4.69707,   -24.08,    4.69707,  -144.08,    4.69707,    95.92,          0,     0.00, 9.31323E-010,    90.00,    4.69707,   155.92,    4.69707,    35.92,    4.69707,   -84.08,          0,     0.00, 4.04623E-010,   124.02
Line.CONN 19,    4.51125,   -23.94,    4.51125,  -143.94,    4.51125,    96.06,          0,     0.00, 1.04125E-009,    26.57,    4.51125,   156.06,    4.51125,    36.06,    4.51125,   -83.94,          0,     0.00, 9.43211E-010,   -59.56
Line.CONN 20,    4.57249,   -24.02,    4.57249,  -144.02,    4.57249,    95.98,          0,     0.00, 1.81847E-009,  -140.19,    4.57249,   155.98,    4.57249,    35.98,    4.57249,   -84.02,          0,     0.00, 9.25728E-010,    56.95
Line.CONN 21,     4.5898,   -24.06,     4.5898,  -144.06,     4.5898,    95.94,          0,     0.00, 1.69503E-009,    15.95,     4.5898,   155.94,     4.5898,    35.94,     4.5898,   -84.06,          0,     0.00, 9.51679E-010,  -107.58
Line.CONN 22,     4.6062,   -24.12,     4.6062,  -144.12,     4.6062,    95.88,          0,     0.00, 1.41625E-009,     9.46,     4.6062,   155.88,     4.6062,    35.88,     4.6062,   -84.12,          0,     0.00, 1.05993E-009,  -178.87
Line.CONN 23,    4.78769,   -29.02,    4.78769,  -149.02,    4.78769,    90.98,          0,     0.00, 1.49084E-009,    51.34,    4.78769,   150.98,    4.78769,    30.98,    4.78769,   -89.02,          0,     0.00, 1.31717E-009,   -86.90
Line.CONN 24,    21.8423,   -25.44,    21.8423,  -145.44,    21.8423,    94.56,          0,     0.00, 5.6073E-009,    41.63,    21.8423,   154.56,    21.8423,    34.56,    21.8423,   -85.44,          0,     0.00, 5.08928E-009,  -130.34
Line.CONN 25,     21.987,   -25.43,     21.987,  -145.43,     21.987,    94.57,          0,     0.00, 4.2742E-009,    29.36,     21.987,   154.57,     21.987,    34.57,     21.987,   -85.43,          0,     0.00, 4.59897E-009,  -140.59
Line.CONN 26,    3.03928,   -22.57,    3.03928,  -142.57,    3.03928,    97.43,          0,     0.00, 2.32831E-010,     0.00,    3.03928,   157.43,    3.03928,    37.43,    3.03928,   -82.57,          0,     0.00, 1.55378E-009,  -177.91
Line.CONN 27,    3.04423,   -22.56,    3.04423,  -142.56,    3.04423,    97.44,          0,     0.00, 2.33992E-009,     5.71,    3.04423,   157.44,    3.04423,    37.44,    3.04423,   -82.56,          0,     0.00, 1.53152E-009,  -156.03
Line.CONN 28,    2.98076,   -18.34,    2.98076,  -138.34,    2.98076,   101.66,          0,     0.00, 9.31323E-010,    90.00,    2.98076,   161.66,    2.98076,    41.66,    2.98076,   -78.34,          0,     0.00, 2.09416E-009,  -140.73
Line.CONN 29,    6.57878,   -30.20,    6.57878,  -150.20,    6.57878,    89.80,          0,     0.00, 1.69503E-009,   -15.95,    6.57878,   149.80,    6.57878,    29.80,    6.57878,   -90.20,          0,     0.00, 2.642E-009,   148.48
Line.CONN 30,    30.0818,   -71.48,    30.0818,   168.52,    30.0818,    48.52,          0,     0.00, 5.45043E-009,   -19.98,    30.0818,   108.52,    30.0818,   -11.48,    30.0818,  -131.48,          0,     0.00, 4.55592E-009,   161.67
Line.CONN 31,    7.89642,   -25.08,    7.89642,  -145.08,    7.89642,    94.92,          0,     0.00, 2.20883E-009,   -18.43,    7.89642,   154.92,    7.89642,    34.92,    7.89642,   -85.08,          0,     0.00, 1.30172E-009,  -167.35
Line.CONN 32,    11.0989,   -25.53,    11.0989,  -145.53,    11.0989,    94.47,          0,     0.00, 3.81871E-009,    37.57,    11.0989,   154.47,    11.0989,    34.47,    11.0989,   -85.53,          0,     0.00, 2.28964E-009,  -138.44
Line.CONN 33,    3.44125,   -33.81,    3.44125,  -153.81,    3.44125,    86.19,          0,     0.00, 6.98492E-010,    90.00,    3.44125,   146.19,    3.44125,    26.19,    3.44125,   -93.81,          0,     0.00, 1.40184E-010,  -107.96
Line.LINE_01,    205.545,   -31.78,    205.545,  -151.78,    205.545,    88.22,          0,     0.00, 3.93053E-008,    30.59,     205.55,   148.22,     205.55,    28.22,     205.55,   -91.78,          0,     0.00, 3.93026E-008,  -149.43
Line.LINE_02,    147.539,   -30.57,    147.539,  -150.57,    147.539,    89.43,          0,     0.00, 2.86022E-008,    32.36,    147.543,   149.43,    147.543,    29.43,    147.543,   -90.57,          0,     0.00, 2.86019E-008,  -147.64
Line.LINE_03,    75.8973,   -28.21,    75.8973,  -148.21,    75.8973,    91.79,          0,     0.00, 1.45592E-008,    36.38,    75.9016,   151.79,    75.9016,    31.79,    75.9016,   -88.21,          0,     0.00, 1.45582E-008,  -143.63
Line.LINE_04,    69.2339,   -27.69,    69.2339,  -147.69,    69.2339,    92.31,          0,     0.00, 1.34866E-008,    36.76,    69.2382,   152.30,    69.2382,    32.30,    69.2382,   -87.70,          0,     0.00, 1.34865E-008,  -143.23
Line.LINE_05,     66.108,   -27.75,     66.108,  -147.75,     66.108,    92.25,          0,     0.00, 1.26934E-008,    37.35,    66.1084,   152.25,    66.1084,    32.25,    66.1084,   -87.75,          0,     0.00, 1.269E-008,  -142.68
Line.LINE_06,    24.0615,   -17.73,    24.0615,  -137.73,    24.0615,   102.27,          0,     0.00, 4.95891E-009,    48.90,    24.0643,   162.25,    24.0643,    42.25,    24.0643,   -77.75,          0,     0.00, 4.95829E-009,  -131.07
Line.LINE_07,    13.8274,   -11.00,    13.8274,  -131.00,    13.8274,   109.00,          0,     0.00, 2.99785E-009,    56.24,    13.8291,   168.96,    13.8291,    48.96,    13.8291,   -71.04,          0,     0.00, 2.99787E-009,  -123.77
Line.LINE_08,    19.3441,   -28.09,    19.3441,  -148.09,    19.3441,    91.91,          0,     0.00, 4.07516E-009,    44.84,    19.3484,   151.88,    19.3484,    31.88,    19.3484,   -88.12,          0,     0.00, 4.07508E-009,  -135.19
Line.LINE_09,    4.05023,    -3.42,    4.05023,  -123.42,    4.05023,   116.58,          0,     0.00, 4.34099E-010,   118.74,    4.05075,   176.45,    4.05075,    56.45,    4.05075,   -63.55,          0,     0.00, 4.33545E-010,   -61.08
Line.LINE_10,    1.40521,    29.81,    1.40521,   -90.19,    1.40521,   149.81,          0,     0.00, 5.40363E-010,  -158.11,     1.4007,  -150.51,     1.4007,    89.49,     1.4007,   -30.51,          0,     0.00, 5.47991E-010,    20.13
Line.LINE_11,     2.2932,   113.00,     2.2932,    -7.00,     2.2932,  -127.00,          0,     0.00, 8.03724E-010,  -168.51,    2.28487,   -66.91,    2.28487,   173.09,    2.28487,    53.09,          0,     0.00, 8.07961E-010,    11.20
Line.LINE_12,    12.7728,   -39.58,    12.7728,  -159.58,    12.7728,    80.42,          0,     0.00, 2.50108E-009,    36.23,    12.7786,   140.39,    12.7786,    20.39,    12.7786,   -99.61,          0,     0.00, 2.50183E-009,  -143.78
Line.LINE_13,    9.55194,   -42.75,    9.55194,  -162.75,    9.55194,    77.25,          0,     0.00, 2.20681E-009,    32.61,    9.55805,   137.21,    9.55805,    17.21,    9.55805,  -102.79,          0,     0.00, 2.20584E-009,  -147.40
Line.LINE_14,    15.6907,   -42.60,    15.6907,  -162.60,    15.6907,    77.40,          0,     0.00, 3.38656E-009,     1.00,    15.6968,   137.37,    15.6968,    17.37,    15.6968,  -102.63,          0,     0.00, 3.38739E-009,  -179.05
Line.LINE_15,    13.3637,   -49.35,    13.3637,  -169.35,    13.3637,    70.65,          0,     0.00, 2.93646E-009,    -7.61,    13.3705,   130.63,    13.3705,    10.63,    13.3705,  -109.37,          0,     0.00, 2.93546E-009,   172.41
Line.LINE_16,    10.9002,   -57.48,    10.9002,  -177.48,    10.9002,    62.52,          0,     0.00, 2.22127E-009,   -16.50,    10.9077,   122.49,    10.9077,     2.49,    10.9077,  -117.51,          0,     0.00, 2.22236E-009,   163.47
Line.LINE_17,    8.77148,   -69.98,    8.77148,   170.02,    8.77148,    50.02,          0,     0.00, 2.40178E-009,   -28.39,    8.77989,   110.00,    8.77989,   -10.00,    8.77989,  -130.00,          0,     0.00, 2.40379E-009,   151.58
Line.LINE_18,    52.8045,   -35.25,    52.8045,  -155.25,    52.8045,    84.75,          0,     0.00, 9.94015E-009,    28.41,    52.8098,   144.74,    52.8098,    24.74,    52.8098,   -95.26,          0,     0.00, 9.9433E-009,  -151.59
Line.LINE_19,    48.3945,   -36.31,    48.3945,  -156.31,    48.3945,    83.69,          0,     0.00, 9.00618E-009,    29.69,       48.4,   143.68,       48.4,    23.68,       48.4,   -96.32,          0,     0.00, 9.00568E-009,  -150.31
Line.LINE_20,    43.9432,   -37.59,    43.9432,  -157.59,    43.9432,    82.41,          0,     0.00, 8.16241E-009,    29.22,    43.9488,   142.40,    43.9488,    22.40,    43.9488,   -97.60,          0,     0.00, 8.164E-009,  -150.78
Line.LINE_21,    22.4722,   -37.76,    22.4722,  -157.76,    22.4722,    82.24,          0,     0.00, 4.15568E-009,    29.39,    22.4778,   142.22,    22.4778,    22.22,    22.4778,   -97.78,          0,     0.00, 4.15622E-009,  -150.60
Line.LINE_22,    67.2871,   -33.70,    67.2871,  -153.70,    67.2871,    86.30,          0,     0.00, 1.27291E-008,    25.76,    67.2922,   146.30,    67.2922,    26.30,    67.2922,   -93.70,          0,     0.00, 1.27272E-008,  -154.24
Line.LINE_23,    62.5217,   -34.06,    62.5217,  -154.06,    62.5217,    85.94,          0,     0.00, 1.18522E-008,    26.42,    62.5268,   145.93,    62.5268,    25.93,    62.5268,   -94.07,          0,     0.00, 1.18527E-008,  -153.59
Line.LINE_24,     41.063,   -38.65,     41.063,  -158.65,     41.063,    81.35,          0,     0.00, 7.97757E-009,    23.60,    41.0686,   141.34,    41.0686,    21.34,    41.0686,   -98.66,          0,     0.00, 7.97773E-009,  -156.40
Line.LINE_25,    39.7714,   -34.48,    39.7714,  -154.48,    39.7714,    85.52,          0,     0.00, 7.59401E-009,    22.98,    39.7766,   145.51,    39.7766,    25.51,    39.7766,   -94.49,          0,     0.00, 7.58709E-009,  -157.08
Line.LINE_26,    36.8082,   -35.47,    36.8082,  -155.47,    36.8082,    84.53,          0,     0.00, 6.87395E-009,    23.80,    36.8135,   144.52,    36.8135,    24.52,    36.8135,   -95.48,          0,     0.00, 6.87999E-009,  -156.20
Line.LINE_27,    33.8532,   -36.63,    33.8532,  -156.63,    33.8532,    83.37,          0,     0.00, 6.383E-009,    22.30,    33.8586,   143.35,    33.8586,    23.35,    33.8586,   -96.65,          0,     0.00, 6.38347E-009,  -157.71
Line.LINE_28,    31.0429,   -38.38,    31.0429,  -158.38,    31.0429,    81.62,          0,     0.00, 6.35041E-009,    20.01,    31.0485,   141.61,    31.0485,    21.61,    31.0485,   -98.39,          0,     0.00, 6.35228E-009,  -159.99
Line.LINE_29,    44.5976,   -46.21,    44.5976,  -166.21,    44.5976,    73.79,          0,     0.00, 9.34886E-009,    10.65,    44.6041,   133.79,    44.6041,    13.79,    44.6041,  -106.21,          0,     0.00, 9.35245E-009,  -169.37
Line.LINE_30,     21.626,    -9.79,     21.626,  -129.79,     21.626,   110.21,          0,     0.00, 4.21148E-009,    52.64,    21.6275,   170.19,    21.6275,    50.19,    21.6275,   -69.81,          0,     0.00, 4.2098E-009,  -127.37
Line.LINE_31,    14.1636,    -1.37,    14.1636,  -121.37,    14.1636,   118.63,          0,     0.00, 2.57724E-009,    64.05,    14.1638,   178.60,    14.1638,    58.60,    14.1638,   -61.40,          0,     0.00, 2.57803E-009,  -115.97
Line.LINE_32,    6.07123,    46.95,    6.07123,   -73.05,    6.07123,   166.95,          0,     0.00, 1.8472E-009,   125.45,    6.06468,  -133.11,    6.06468,   106.89,    6.06468,   -13.11,          0,     0.00, 1.8432E-009,   -54.43
Line.LINE_33,    17.0443,   -40.99,    17.0443,  -160.99,    17.0443,    79.01,          0,     0.00, 3.4103E-009,    27.39,    17.0503,   138.98,    17.0503,    18.98,    17.0503,  -101.02,          0,     0.00, 3.41116E-009,  -152.62
Line.LINE_34,    12.9191,   -37.86,    12.9191,  -157.86,    12.9191,    82.14,          0,     0.00, 2.29935E-009,    40.12,    12.9246,   142.11,    12.9246,    22.11,    12.9246,   -97.89,          0,     0.00, 2.29969E-009,  -139.90
Line.LINE_35,    18.0407,   138.74,    18.0407,    18.74,    18.0407,  -101.26,          0,     0.00, 3.4401E-009,  -148.42,    18.0347,   -41.24,    18.0347,  -161.24,    18.0347,    78.76,          0,     0.00, 3.44004E-009,    31.60
Line.LINE_36,     6.4627,  -101.47,     6.4627,   138.53,     6.4627,    18.53,          0,     0.00, 2.45415E-009,   -41.16,    6.47148,    78.55,    6.47148,   -41.45,    6.47148,  -161.45,          0,     0.00, 2.45501E-009,   138.82
Line.LINE_37,    20.2978,   -53.01,    20.2978,  -173.01,    20.2978,    66.99,          0,     0.00, 4.42305E-009,    11.82,     20.305,   126.98,     20.305,     6.98,     20.305,  -113.02,          0,     0.00, 4.42279E-009,  -168.18
Load.LOAD 02,    5.33721,   -31.01,    5.33721,  -151.01,    5.33721,    88.99, 1.04127E-009,  -151.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 03,    4.55483,   -23.88,    4.55483,  -143.88,    4.55483,    96.12, 8.87221E-010,  -143.87,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 04,    6.70063,   -33.64,    6.70063,  -153.64,    6.70063,    86.36, 1.3046E-009,  -153.62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 05,    3.13088,   -26.56,    3.13088,  -146.56,    3.13088,    93.44, 6.09284E-010,  -146.55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 06,    2.95542,   -18.51,    2.95542,  -138.51,    2.95542,   101.49, 5.75075E-010,  -138.50,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
