Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    26.7947,   178.49,    28.2632,    65.77,    30.5232,   -60.16,          0,     0.00, 1.86786E-008,  -175.72,    26.7947,    -1.51,    28.2632,  -114.23,    30.5232,   119.84,          0,     0.00, 1.86786E-008,     4.28
Capacitor.CAPACITOR 01,    79.7087,    82.30,    86.4807,   -34.25,    78.3655,  -155.08,          0,     0.00,    11.4303,   -13.67,    79.7087,   -97.70,    86.4807,   145.75,    78.3655,    24.92,          0,     0.00,    11.4303,   166.33
Capacitor.CAPACITOR 02,     39.422,  -155.25,          0,     0.00,          0,     0.00,          0,     0.00,     39.422,  -155.25,     39.422,    24.75,          0,     0.00,          0,     0.00,          0,     0.00,     39.422,    24.75
Line.632_633,    82.0771,   -38.72,    61.4911,  -159.93,    63.4963,    79.95,          0,     0.00,     19.994,   -29.77,    82.0779,   141.27,    61.4919,    20.07,    63.4974,  -100.05,          0,     0.00,    19.9939,   150.23
Line.632_645B,    142.688,  -143.46,          0,     0.00,          0,     0.00,          0,     0.00,    142.688,  -143.46,    142.688,    36.54,          0,     0.00,          0,     0.00,          0,     0.00,    142.688,    36.54
Line.632_645C,    64.9202,    56.99,          0,     0.00,          0,     0.00,          0,     0.00,    64.9202,    56.99,    64.9206,  -123.01,          0,     0.00,          0,     0.00,          0,     0.00,    64.9206,  -123.01
Line.632_670,    704.333,   -27.84,    423.759,  -144.00,    678.509,    93.05,          0,     0.00,     263.39,    22.19,    704.334,   152.16,     423.76,    36.00,     678.51,   -86.95,          0,     0.00,    263.391,  -157.81
Line.645_646B,    64.9209,  -123.01,          0,     0.00,          0,     0.00,          0,     0.00,    64.9209,  -123.01,    64.9209,    56.99,          0,     0.00,          0,     0.00,          0,     0.00,    64.9209,    56.99
Line.645_646C,    64.9206,    56.99,          0,     0.00,          0,     0.00,          0,     0.00,    64.9206,    56.99,    64.9209,  -123.01,          0,     0.00,          0,     0.00,          0,     0.00,    64.9209,  -123.01
Line.670_671,    696.191,   -27.76,    393.641,  -143.31,    621.856,    93.66,          0,     0.00,    267.801,    13.20,    696.193,   152.24,    393.642,    36.69,    621.858,   -86.34,          0,     0.00,    267.801,  -166.80
Line.671_680,  0.0035145,    88.95, 0.00342331,   -42.60, 0.00291737,  -151.73,          0,     0.00, 0.000185573,   -85.41, 2.03369E-012,  -116.57, 4.06738E-012,    63.43,          0,     0.00,          0,     0.00, 2.03369E-012,    63.43
Line.671_684A,    62.0983,   -41.25,          0,     0.00,          0,     0.00,          0,     0.00,    62.0983,   -41.25,    62.0985,   138.75,          0,     0.00,          0,     0.00,          0,     0.00,    62.0985,   138.75
Line.671_684C,    70.7846,   119.67,          0,     0.00,          0,     0.00,          0,     0.00,    70.7846,   119.67,    70.7846,   -60.34,          0,     0.00,          0,     0.00,          0,     0.00,    70.7846,   -60.34
Line.684_611C,    70.7846,   119.66,          0,     0.00,          0,     0.00,          0,     0.00,    70.7846,   119.66,    70.7846,   -60.34,          0,     0.00,          0,     0.00,          0,     0.00,    70.7846,   -60.34
Line.RG60_632,    785.083,   -28.97,    625.761,  -145.42,    794.575,    89.25,          0,     0.00,    191.302,    17.98,    785.087,   151.02,    625.763,    34.58,    794.578,   -90.75,          0,     0.00,    191.302,  -162.02
Line.611C,    78.0131,    89.43,          0,     0.00,          0,     0.00,          0,     0.00,    78.0131,    89.43,    78.0131,   -90.57,          0,     0.00,          0,     0.00,          0,     0.00,    78.0131,   -90.57
Line.634A,    711.342,   -38.73,          0,     0.00,          0,     0.00,          0,     0.00,    711.342,   -38.73,    711.342,   141.27,          0,     0.00,          0,     0.00,          0,     0.00,    711.342,   141.27
Line.634B,     532.93,  -159.93,          0,     0.00,          0,     0.00,          0,     0.00,     532.93,  -159.93,     532.93,    20.07,          0,     0.00,          0,     0.00,          0,     0.00,     532.93,    20.07
Line.634C,     550.31,    79.95,          0,     0.00,          0,     0.00,          0,     0.00,     550.31,    79.95,     550.31,  -100.05,          0,     0.00,          0,     0.00,          0,     0.00,     550.31,  -100.05
Line.645B,    84.9423,  -158.95,          0,     0.00,          0,     0.00,          0,     0.00,    84.9423,  -158.95,    84.9423,    21.05,          0,     0.00,          0,     0.00,          0,     0.00,    84.9423,    21.05
Line.646BC,    64.9209,  -123.01,    64.9209,    56.99,          0,     0.00,          0,     0.00, 9.54837E-007,   -91.26,    64.9209,    56.99,    64.9209,  -123.01,          0,     0.00,          0,     0.00, 1.49131E-010,   135.47
Line.652A,    62.0985,   -41.25,          0,     0.00,          0,     0.00,          0,     0.00,    62.0985,   -41.25,    62.0985,   138.75,          0,     0.00,          0,     0.00,          0,     0.00,    62.0985,   138.75
Line.670A,    8.21045,   -35.15,          0,     0.00,          0,     0.00,          0,     0.00,    8.21045,   -35.15,    8.21045,   144.85,          0,     0.00,          0,     0.00,          0,     0.00,    8.21045,   144.85
Line.670C,    57.0757,    86.38,          0,     0.00,          0,     0.00,          0,     0.00,    57.0757,    86.38,    57.0757,   -93.62,          0,     0.00,          0,     0.00,          0,     0.00,    57.0757,   -93.62
Line.675A,    226.661,   -29.12,          0,     0.00,          0,     0.00,          0,     0.00,    226.661,   -29.12,    226.661,   150.88,          0,     0.00,          0,     0.00,          0,     0.00,    226.661,   150.88
Line.675B,    36.3499,  -165.65,          0,     0.00,          0,     0.00,          0,     0.00,    36.3499,  -165.65,    36.3499,    14.35,          0,     0.00,          0,     0.00,          0,     0.00,    36.3499,    14.35
Line.675C,    156.077,    78.73,          0,     0.00,          0,     0.00,          0,     0.00,    156.077,    78.73,    156.077,  -101.27,          0,     0.00,          0,     0.00,          0,     0.00,    156.077,  -101.27
Line.692_675,    409.768,   -19.91,    213.858,  -132.93,    329.065,    96.14,          0,     0.00,    206.766,     8.64,    409.768,   160.09,    213.858,    47.07,    329.065,   -83.86,          0,     0.00,    206.766,  -171.36
Line.692AC,    47.3795,   -49.03,    47.2805,    73.29,          0,     0.00,          0,     0.00,     45.656,    12.02,    47.3795,   130.97,    47.2805,  -106.71,          0,     0.00,          0,     0.00,     45.656,  -167.98
Line.CABLE 684A,    62.0985,   -41.25,          0,     0.00,          0,     0.00,          0,     0.00,    62.0985,   -41.25,    62.0985,   138.75,          0,     0.00,          0,     0.00,          0,     0.00,    62.0985,   138.75
Line.CAP1,    79.7087,    82.30,    86.4807,   -34.25,    78.3655,  -155.08,          0,     0.00,    11.4303,   -13.67,    79.7087,   -97.70,    86.4807,   145.75,    78.3655,    24.92,          0,     0.00,    11.4303,   166.33
Line.CAP2,     39.422,  -155.25,          0,     0.00,          0,     0.00,          0,     0.00,     39.422,  -155.25,     39.422,    24.75,          0,     0.00,          0,     0.00,          0,     0.00,     39.422,    24.75
Line.CONN 01,    30.5151,  -152.91,          0,     0.00,          0,     0.00,          0,     0.00,    30.5151,  -152.91,    30.5151,    27.09,          0,     0.00,          0,     0.00,          0,     0.00,    30.5151,    27.09
Line.CONN 02,    207.102,   -31.50,    207.077,  -151.47,    207.201,    88.52,          0,     0.00, 1.247E-007,   -13.85,    207.102,   148.50,    207.077,    28.53,    207.201,   -91.48,          0,     0.00, 9.47248E-010,   111.94
Line.CONN 03, 1.03264E-006,   -32.56,          0,     0.00,          0,     0.00,          0,     0.00, 1.03264E-006,   -32.56, 2.32831E-010,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00, 2.32831E-010,   -90.00
Line.LOAD671,     187.32,   -35.22,    187.296,  -155.19,    187.395,    84.80,          0,     0.00, 1.16487E-007,    -9.46,     187.32,   144.78,    187.296,    24.81,    187.395,   -95.20,          0,     0.00, 5.78496E-010,    -3.11
Line.SWITCH,    451.745,   -22.83,    213.858,  -132.93,    373.087,    93.32,          0,     0.00,    252.357,     9.25,    451.745,   157.17,    213.858,    47.07,    373.087,   -86.68,          0,     0.00,    252.357,  -170.75
Transformer.LVR 01,    843.965,   -28.97,    843.965,   151.03,          0,     0.00,          0,     0.00,          0,     0.00,    785.083,   151.03,    785.083,   -28.97,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.LVR 02,     660.96,  -145.42,     660.96,    34.58,          0,     0.00,          0,     0.00,          0,     0.00,    625.761,    34.58,    625.761,  -145.42,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.LVR 03,        859,    89.25,        859,   -90.75,          0,     0.00,          0,     0.00,          0,     0.00,    794.575,   -90.75,    794.575,    89.25,          0,     0.00,          0,     0.00,          0,     0.00
Transformer.SUBSTATION,    26.7947,    -1.51,    28.2632,  -114.23,    30.5232,   119.84,          0,     0.00, 3.63798E-011,    90.00,    843.965,   151.03,     660.96,    34.58,        859,   -90.75,    218.588,    20.06, 8.78608E-009,   147.99
Transformer.TXFMR1,    82.0779,   -38.73,    61.4919,  -159.93,    63.4974,    79.95,    19.9939,   150.23, 1.49424E-006,   168.03,    711.342,   141.27,     532.93,    20.07,     550.31,  -100.05,     173.28,   -29.77, 1.43809E-005,   162.29
Load.LOAD 611C,    78.0122,    89.44,    78.0122,   -90.56,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 634A,    711.311,   -38.73,    711.311,   141.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 634B,    532.936,  -159.93,    532.936,    20.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 634C,    550.304,    79.95,    550.304,  -100.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 645B,    84.9432,  -158.95,    84.9432,    21.05,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 646,    64.9207,  -123.01,    64.9207,    56.99,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 652,    62.0948,   -41.25,    62.0948,   138.75,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 670A,    8.21011,   -35.15,    8.21011,   144.85,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 670B,    30.5155,  -152.91,    30.5155,    27.09,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 670C,    57.0752,    86.38,    57.0752,   -93.62,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 671,    187.314,   -35.22,    187.293,  -155.19,    187.394,    84.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 675A,    226.647,   -29.12,    226.647,   150.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 675B,    36.3505,  -165.65,    36.3505,    14.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 675C,    156.076,    78.73,    156.076,  -101.27,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD 692AC,    47.3768,   -49.04,      47.28,    73.29,    45.6519,  -167.98,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.MOTOR 01,    207.094,   -31.50,    207.072,  -151.47,    207.199,    88.52,          0,     0.00, 1.42109E-014,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
