Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 12.66, 1,    7309.15,    0.0,   0.99999, 2,    7309.15, -120.0,   0.99999, 3,    7309.15,  120.0,   0.99999
"LOAD 02", 12.66, 1,    7287.58,    0.0,   0.99703, 2,    7287.58, -120.0,   0.99703, 3,    7287.58,  120.0,   0.99703
"LOAD 03", 12.66, 1,    7206.12,    0.1,   0.98589, 2,    7206.12, -119.9,   0.98589, 3,    7206.12,  120.1,   0.98589
"LOAD 04", 12.66, 1,    7174.95,    0.1,   0.98162, 2,    7174.95, -119.9,   0.98162, 3,    7174.95,  120.1,   0.98162
"LOAD 05", 12.66, 1,    7145.34,    0.1,   0.97757, 2,    7145.34, -119.9,   0.97757, 3,    7145.34,  120.1,   0.97757
"LOAD 06", 12.66, 1,    7138.37,    0.0,   0.97662, 2,    7138.37, -120.0,   0.97662, 3,    7138.37,  120.0,   0.97662
"LOAD 07", 12.66, 1,    7129.54,   -0.1,   0.97541, 2,    7129.54, -120.1,   0.97541, 3,    7129.54,  119.9,   0.97541
"LOAD 08", 12.66, 1,    7103.07,   -0.2,   0.97179, 2,    7103.07, -120.2,   0.97179, 3,    7103.07,  119.8,   0.97179
"LOAD 09", 12.66, 1,    7078.77,   -0.2,   0.96847, 2,    7078.77, -120.2,   0.96847, 3,    7078.77,  119.8,   0.96847
"LOAD 10", 12.66, 1,    7074.39,   -0.2,   0.96787, 2,    7074.39, -120.2,   0.96787, 3,    7074.39,  119.8,   0.96787
"LOAD 11", 12.66, 1,    7074.19,   -0.2,   0.96784, 2,    7074.19, -120.2,   0.96784, 3,    7074.19,  119.8,   0.96784
"LOAD 12", 12.66, 1,    7074.79,   -0.2,   0.96792, 2,    7074.79, -120.2,   0.96792, 3,    7074.79,  119.8,   0.96792
"LOAD 13", 12.66, 1,    7050.93,   -0.2,   0.96466, 2,    7050.93, -120.2,   0.96466, 3,    7050.93,  119.8,   0.96466
"LOAD 14", 12.66, 1,    7042.51,   -0.2,   0.96351, 2,    7042.51, -120.2,   0.96351, 3,    7042.51,  119.8,   0.96351
"LOAD 15", 12.66, 1,     7030.1,   -0.2,   0.96181, 2,     7030.1, -120.2,   0.96181, 3,     7030.1,  119.8,   0.96181
"LOAD 16", 12.66, 1,    7018.06,   -0.2,   0.96016, 2,    7018.06, -120.2,   0.96016, 3,    7018.06,  119.8,   0.96016
"LOAD 17", 12.66, 1,    6994.68,   -0.2,   0.95696, 2,    6994.68, -120.2,   0.95696, 3,    6994.68,  119.8,   0.95696
"LOAD 18", 12.66, 1,    6987.73,   -0.1,   0.95601, 2,    6987.73, -120.1,   0.95601, 3,    6987.73,  119.9,   0.95601
"LOAD 19", 12.66, 1,    7275.74,    0.0,   0.99541, 2,    7275.74, -120.0,   0.99541, 3,    7275.74,  120.0,   0.99541
"LOAD 20", 12.66, 1,    7178.24,   -0.1,   0.98208, 2,    7178.24, -120.1,   0.98208, 3,    7178.24,  119.9,   0.98208
"LOAD 21", 12.66, 1,    7151.17,   -0.1,   0.97837, 2,    7151.17, -120.1,   0.97837, 3,    7151.17,  119.9,   0.97837
"LOAD 22", 12.66, 1,    7125.69,   -0.2,   0.97489, 2,    7125.69, -120.2,   0.97489, 3,    7125.69,  119.8,   0.97489
"LOAD 23", 12.66, 1,    7169.35,    0.0,   0.98086, 2,    7169.35, -120.0,   0.98086, 3,    7169.35,  120.0,   0.98086
"LOAD 24", 12.66, 1,    7097.97,    0.0,   0.97109, 2,    7097.97, -120.0,   0.97109, 3,    7097.97,  120.0,   0.97109
"LOAD 25", 12.66, 1,    7051.26,    0.0,    0.9647, 2,    7051.26, -120.0,    0.9647, 3,    7051.26,  120.0,    0.9647
"LOAD 26", 12.66, 1,    7129.39,    0.1,   0.97539, 2,    7129.39, -119.9,   0.97539, 3,    7129.39,  120.1,   0.97539
"LOAD 27", 12.66, 1,    7117.78,    0.1,    0.9738, 2,    7117.78, -119.9,    0.9738, 3,    7117.78,  120.1,    0.9738
"LOAD 28", 12.66, 1,    7070.15,    0.0,   0.96729, 2,    7070.15, -120.0,   0.96729, 3,    7070.15,  120.0,   0.96729
"LOAD 29", 12.66, 1,    7037.06,    0.0,   0.96276, 2,    7037.06, -120.0,   0.96276, 3,    7037.06,  120.0,   0.96276
"LOAD 30", 12.66, 1,    7013.06,    0.1,   0.95948, 2,    7013.06, -119.9,   0.95948, 3,    7013.06,  120.1,   0.95948
"LOAD 31", 12.66, 1,    6988.77,    0.0,   0.95615, 2,    6988.77, -120.0,   0.95615, 3,    6988.77,  120.0,   0.95615
"LOAD 32", 12.66, 1,    6984.25,   -0.1,   0.95553, 2,    6984.25, -120.1,   0.95553, 3,    6984.25,  119.9,   0.95553
"LOAD 33", 12.66, 1,     6985.2,   -0.1,   0.95567, 2,     6985.2, -120.1,   0.95567, 3,     6985.2,  119.9,   0.95567
"BUSBAR 01", 12.66, 1,    7308.86,    0.0,   0.99995, 2,    7308.86, -120.0,   0.99995, 3,    7308.86,  120.0,   0.99995
"BUSBAR 02", 12.66, 1,    7287.59,    0.0,   0.99704, 2,    7287.59, -120.0,   0.99704, 3,    7287.59,  120.0,   0.99704
"BUSBAR 03", 12.66, 1,    7206.12,    0.1,   0.98589, 2,    7206.12, -119.9,   0.98589, 3,    7206.12,  120.1,   0.98589
"BUSBAR 04", 12.66, 1,    7174.96,    0.1,   0.98163, 2,    7174.96, -119.9,   0.98163, 3,    7174.96,  120.1,   0.98163
"BUSBAR 05", 12.66, 1,    7145.35,    0.1,   0.97758, 2,    7145.35, -119.9,   0.97758, 3,    7145.35,  120.1,   0.97758
"BUSBAR 06", 12.66, 1,    7138.38,    0.0,   0.97662, 2,    7138.38, -120.0,   0.97662, 3,    7138.38,  120.0,   0.97662
"BUSBAR 07", 12.66, 1,    7129.55,   -0.1,   0.97541, 2,    7129.55, -120.1,   0.97541, 3,    7129.55,  119.9,   0.97541
"BUSBAR 08", 12.66, 1,    7103.08,   -0.2,   0.97179, 2,    7103.08, -120.2,   0.97179, 3,    7103.08,  119.8,   0.97179
"BUSBAR 09", 12.66, 1,    7078.77,   -0.2,   0.96847, 2,    7078.77, -120.2,   0.96847, 3,    7078.77,  119.8,   0.96847
"BUSBAR 10", 12.66, 1,    7074.39,   -0.2,   0.96787, 2,    7074.39, -120.2,   0.96787, 3,    7074.39,  119.8,   0.96787
"BUSBAR 11", 12.66, 1,     7074.2,   -0.2,   0.96784, 2,     7074.2, -120.2,   0.96784, 3,     7074.2,  119.8,   0.96784
"BUSBAR 12", 12.66, 1,     7074.8,   -0.2,   0.96792, 2,     7074.8, -120.2,   0.96792, 3,     7074.8,  119.8,   0.96792
"BUSBAR 13", 12.66, 1,    7050.94,   -0.2,   0.96466, 2,    7050.94, -120.2,   0.96466, 3,    7050.94,  119.8,   0.96466
"BUSBAR 14", 12.66, 1,    7042.52,   -0.2,   0.96351, 2,    7042.52, -120.2,   0.96351, 3,    7042.52,  119.8,   0.96351
"BUSBAR 16", 12.66, 1,    7018.07,   -0.2,   0.96016, 2,    7018.07, -120.2,   0.96016, 3,    7018.07,  119.8,   0.96016
"BUSBAR 15", 12.66, 1,     7030.1,   -0.2,   0.96181, 2,     7030.1, -120.2,   0.96181, 3,     7030.1,  119.8,   0.96181
"BUSBAR 17", 12.66, 1,    6994.68,   -0.2,   0.95696, 2,    6994.68, -120.2,   0.95696, 3,    6994.68,  119.8,   0.95696
"BUSBAR 18", 12.66, 1,    6987.74,   -0.1,   0.95601, 2,    6987.74, -120.1,   0.95601, 3,    6987.74,  119.9,   0.95601
"BUSBAR 19", 12.66, 1,    7275.75,    0.0,   0.99542, 2,    7275.75, -120.0,   0.99542, 3,    7275.75,  120.0,   0.99542
"BUSBAR 20", 12.66, 1,    7178.25,   -0.1,   0.98208, 2,    7178.25, -120.1,   0.98208, 3,    7178.25,  119.9,   0.98208
"BUSBAR 21", 12.66, 1,    7151.17,   -0.1,   0.97837, 2,    7151.17, -120.1,   0.97837, 3,    7151.17,  119.9,   0.97837
"BUSBAR 22", 12.66, 1,    7125.69,   -0.2,   0.97489, 2,    7125.69, -120.2,   0.97489, 3,    7125.69,  119.8,   0.97489
"BUSBAR 23", 12.66, 1,    7169.35,    0.0,   0.98086, 2,    7169.35, -120.0,   0.98086, 3,    7169.35,  120.0,   0.98086
"BUSBAR 24", 12.66, 1,       7098,    0.0,    0.9711, 2,       7098, -120.0,    0.9711, 3,       7098,  120.0,    0.9711
"BUSBAR 25", 12.66, 1,    7051.29,    0.0,   0.96471, 2,    7051.29, -120.0,   0.96471, 3,    7051.29,  120.0,   0.96471
"BUSBAR 26", 12.66, 1,     7129.4,    0.1,   0.97539, 2,     7129.4, -119.9,   0.97539, 3,     7129.4,  120.1,   0.97539
"BUSBAR 27", 12.66, 1,    7117.79,    0.1,    0.9738, 2,    7117.79, -119.9,    0.9738, 3,    7117.79,  120.1,    0.9738
"BUSBAR 28", 12.66, 1,    7070.15,    0.0,   0.96729, 2,    7070.15, -120.0,   0.96729, 3,    7070.15,  120.0,   0.96729
"BUSBAR 29", 12.66, 1,    7037.07,    0.0,   0.96276, 2,    7037.07, -120.0,   0.96276, 3,    7037.07,  120.0,   0.96276
"BUSBAR 30", 12.66, 1,    7013.09,    0.1,   0.95948, 2,    7013.09, -119.9,   0.95948, 3,    7013.09,  120.1,   0.95948
"BUSBAR 31", 12.66, 1,    6988.78,    0.0,   0.95615, 2,    6988.78, -120.0,   0.95615, 3,    6988.78,  120.0,   0.95615
"BUSBAR 32", 12.66, 1,    6984.26,   -0.1,   0.95554, 2,    6984.26, -120.1,   0.95554, 3,    6984.26,  119.9,   0.95554
"BUSBAR 33", 12.66, 1,     6985.2,   -0.1,   0.95567, 2,     6985.2, -120.1,   0.95567, 3,     6985.2,  119.9,   0.95567
