Attack,Stretch,Stretch_sum,Translate,Translate_sum,Voltage
0.5,0.5,1.0,0.5,1.0,0.9
0.5,0.5,1.0,0.5,1.0,0.9002
0.5,0.5,1.0,0.5,1.0,0.9004
0.5,0.5,1.0,0.5,1.0,0.9006000000000001
0.5,0.5,1.0,0.5,1.0,0.9008
0.5,0.5,1.0,0.5,1.0,0.901
0.5,0.5,1.0,0.5,1.0,0.9012
0.5,0.5,1.0,0.5,1.0,0.9014
0.5,0.5,1.0,0.5,1.0,0.9016000000000001
0.5,0.5,1.0,0.5,1.0,0.9018
0.5,0.5,1.0,0.5,1.0,0.902
0.5,0.5,1.0,0.5,1.0,0.9022
0.5,0.5,1.0,0.5,1.0,0.9024
0.5,0.5,1.0,0.5,1.0,0.9026000000000001
0.5,0.5,1.0,0.5,1.0,0.9028
0.5,0.5,1.0,0.5,1.0,0.903
0.5,0.5,1.0,0.5,1.0,0.9032
0.5,0.5,1.0,0.5,1.0,0.9034
0.5,0.5,1.0,0.5,1.0,0.9036000000000001
0.5,0.5,1.0,0.5,1.0,0.9038
0.5,0.5,1.0,0.5,1.0,0.904
0.5,0.5,1.0,0.5,1.0,0.9042
0.5,0.5,1.0,0.5,1.0,0.9044
0.5,0.5,1.0,0.5,1.0,0.9046000000000001
0.5,0.5,1.0,0.5,1.0,0.9048
0.5,0.5,1.0,0.5,1.0,0.905
0.5,0.5,1.0,0.5,1.0,0.9052
0.5,0.5,1.0,0.5,1.0,0.9054
0.5,0.5,1.0,0.5,1.0,0.9056000000000001
0.5,0.5,1.0,0.5,1.0,0.9058
0.5,0.5,1.0,0.5,1.0,0.906
0.5,0.5,1.0,0.5,1.0,0.9062
0.5,0.5,1.0,0.5,1.0,0.9064
0.5,0.5,1.0,0.5,1.0,0.9066000000000001
0.5,0.5,1.0,0.5,1.0,0.9068
0.5,0.5,1.0,0.5,1.0,0.907
0.5,0.5,1.0,0.5,1.0,0.9072
0.5,0.5,1.0,0.5,1.0,0.9074
0.5,0.5,1.0,0.5,1.0,0.9076000000000001
0.5,0.5,1.0,0.5,1.0,0.9078
0.5,0.5,1.0,0.5,1.0,0.908
0.5,0.5,1.0,0.5,1.0,0.9082
0.5,0.5,1.0,0.5,1.0,0.9084
0.5,0.5,1.0,0.5,1.0,0.9086000000000001
0.5,0.5,1.0,0.5,1.0,0.9088
0.5,0.5,1.0,0.5,1.0,0.909
0.5,0.5,1.0,0.5,1.0,0.9092
0.5,0.5,1.0,0.5,1.0,0.9094
0.5,0.5,1.0,0.5,1.0,0.9096000000000001
0.5,0.5,1.0,0.5,1.0,0.9098
0.5,0.5,1.0,0.5,1.0,0.91
0.5,0.5,1.0,0.5,1.0,0.9102
0.5,0.5,1.0,0.5,1.0,0.9104
0.5,0.5,1.0,0.5,1.0,0.9106000000000001
0.5,0.5,1.0,0.5,1.0,0.9108
0.5,0.5,1.0,0.5,1.0,0.911
0.5,0.5,1.0,0.5,1.0,0.9112
0.5,0.5,1.0,0.5,1.0,0.9114
0.5,0.5,1.0,0.5,1.0,0.9116000000000001
0.5,0.5,1.0,0.5,1.0,0.9118
0.5,0.5,1.0,0.5,1.0,0.912
0.5,0.5,1.0,0.5,1.0,0.9122
0.5,0.5,1.0,0.5,1.0,0.9124
0.5,0.5,1.0,0.5,1.0,0.9126000000000001
0.5,0.5,1.0,0.5,1.0,0.9128000000000001
0.5,0.5,1.0,0.5,1.0,0.913
0.5,0.5,1.0,0.5,1.0,0.9132
0.5,0.5,1.0,0.5,1.0,0.9134
0.5,0.5,1.0,0.5,1.0,0.9136000000000001
0.5,0.5,1.0,0.5,1.0,0.9138000000000001
0.5,0.5,1.0,0.5,1.0,0.914
0.5,0.5,1.0,0.5,1.0,0.9142
0.5,0.5,1.0,0.5,1.0,0.9144
0.5,0.5,1.0,0.5,1.0,0.9146000000000001
0.5,0.5,1.0,0.5,1.0,0.9148000000000001
0.5,0.5,1.0,0.5,1.0,0.915
0.5,0.5,1.0,0.5,1.0,0.9152
0.5,0.5,1.0,0.5,1.0,0.9154
0.5,0.5,1.0,0.5,1.0,0.9156000000000001
0.5,0.5,1.0,0.5,1.0,0.9158000000000001
0.5,0.5,1.0,0.5,1.0,0.916
0.5,0.5,1.0,0.5,1.0,0.9162
0.5,0.5,1.0,0.5,1.0,0.9164
0.5,0.5,1.0,0.5,1.0,0.9166000000000001
0.5,0.5,1.0,0.5,1.0,0.9168000000000001
0.5,0.5,1.0,0.5,1.0,0.917
0.5,0.5,1.0,0.5,1.0,0.9172
